Name,Tags,Drinks
Amaretto,,"https://www.notion.so/Amaretto-Sour-b9f99a0dd2b6435d86bb010f69099770, https://www.notion.so/Godfather-e813a029ec004f8b96a5bde6d420f163, https://www.notion.so/Godmother-9d3338b0213146718dc97326c79e30eb, https://www.notion.so/Tiramisu-Martini-38ef7c5a20bb40e181169a28a903f8f2"
Apple Puckers,,"https://www.notion.so/Washington-Apple-1867dd9f1f0b4397a1cce9d566583ad1, https://www.notion.so/Appletini-ad69f546eda04d4eb6379259e8d30aef"
Bourbon,,"https://www.notion.so/Manhattan-ac4a9f00ca714002bf7196ce837e6bfe, https://www.notion.so/John-Collins-d198e0532c46457fb5ff5978ee383270"
Brandy,,https://www.notion.so/Stinger-767f306b81b040cf8454fb216172d848
Chambord,,https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac
Cherry Brandy,,https://www.notion.so/Singapore-Sling-0ee2fe3d832446deb1f30bea5ceecb4d
Coffee Liqueur,,https://www.notion.so/Expresso-Martini-3cc3647de9184ea3aef39d875e8781b3
Coke,,"https://www.notion.so/Colorado-Bulldog-b8101d4e91a14e9eaa4d14e18d524185, https://www.notion.so/Face-Eraser-fe1b1683fbfc4c4185f4e7fbb126f880, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Cranberry Juice,,"https://www.notion.so/Washington-Apple-1867dd9f1f0b4397a1cce9d566583ad1, https://www.notion.so/Woo-Woo-ecf2246019cb47a59eca2b32c3f6d3eb, https://www.notion.so/Cosmopolitan-8dcad17a209b497dbe7728df7bd05183, https://www.notion.so/Bay-Breeze-a852eeb1ac1945e9bfc4b20431ba2c54, https://www.notion.so/Cape-Cod-cc0dbe10d2b44cb7ac922ba5fe21a271, https://www.notion.so/Madras-3213dfb28a3f41c5b04d5fc4a8e5e6a8, https://www.notion.so/Sea-Breeze-0404bae2e6db43109349ab54476270c5, https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Sex-on-the-Beach-5171836eafbf45118d3dc28c9437cd54"
Cream,,"https://www.notion.so/Colorado-Bulldog-b8101d4e91a14e9eaa4d14e18d524185, https://www.notion.so/Sombrero-00b70133a9dd4b8983eaea06e579772e, https://www.notion.so/White-Russian-7e5ac5386d174af29d21ef5f7d64ccfd"
Cream of Coconut,,https://www.notion.so/Painkiller-8a07b6c3ca5c464ab64980e9f1c54d80
Creme de cacao liqueur,,https://www.notion.so/Expresso-Martini-3cc3647de9184ea3aef39d875e8781b3
Crown,,"https://www.notion.so/Washington-Apple-1867dd9f1f0b4397a1cce9d566583ad1, https://www.notion.so/Water-Mocasin-de65edae2f7240fdaff58f687ff7f678"
Dark Rum,,https://www.notion.so/Painkiller-8a07b6c3ca5c464ab64980e9f1c54d80
Drambuie,,https://www.notion.so/Rusty-Nail-1d00569e1f824daa97256d2e9c0d3e4d
Dry Vermouth,,https://www.notion.so/Martini-d44c52d8fbf74c289280b71e42e1c872
Frangelico,,https://www.notion.so/Chocolate-Martini-c33ba7a012ab4369b8f752ad58aae820
Gin,,"https://www.notion.so/Tom-Collins-b043170c47604f92adf1608daebcdd96, https://www.notion.so/Singapore-Sling-0ee2fe3d832446deb1f30bea5ceecb4d, https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac"
Godiva Dark,,https://www.notion.so/Chocolate-Martini-c33ba7a012ab4369b8f752ad58aae820
Godiva Light,,https://www.notion.so/Chocolate-Martini-c33ba7a012ab4369b8f752ad58aae820
Grapefruit Juice,,"https://www.notion.so/Greyhound-1da0829497fe48cfae1b97a1ab82d8ca, https://www.notion.so/Salty-Dog-ae6732c5a4e14810a5cf9dcbddc25f2f"
Grenadine,,"https://www.notion.so/Tequila-Sunrise-f155da1ca5fc4387b3b36072e79c8939, https://www.notion.so/Amaretto-Sour-b9f99a0dd2b6435d86bb010f69099770, https://www.notion.so/Singapore-Sling-0ee2fe3d832446deb1f30bea5ceecb4d, https://www.notion.so/Vodka-Cherry-Sour-1dc4c3baa43e414086f11ba7f49efa7e, https://www.notion.so/Whisky-Sour-dea88e620c8248b1870538ab156f1b63"
half and half,,https://www.notion.so/Tiramisu-Martini-38ef7c5a20bb40e181169a28a903f8f2
Hennessy,,https://www.notion.so/Incredible-Hulk-076c918ed45e4a1caf227691fd43792d
Hypnotiq,,https://www.notion.so/Incredible-Hulk-076c918ed45e4a1caf227691fd43792d
Jack Daniels,,https://www.notion.so/Lynchburg-Lemonade-2a0d92a70bbb4b038e0c7af254eaa065
Kahlua,,"https://www.notion.so/Black-Russian-f4dfb696a92445ad893762f2a9eaf5f9, https://www.notion.so/Colorado-Bulldog-b8101d4e91a14e9eaa4d14e18d524185, https://www.notion.so/Sombrero-00b70133a9dd4b8983eaea06e579772e, https://www.notion.so/White-Russian-7e5ac5386d174af29d21ef5f7d64ccfd, https://www.notion.so/Face-Eraser-fe1b1683fbfc4c4185f4e7fbb126f880, https://www.notion.so/Mind-Eraser-65668cae992642f980d5aab61728c301, https://www.notion.so/Tiramisu-Martini-38ef7c5a20bb40e181169a28a903f8f2"
Lemon Juice,,https://www.notion.so/Lemon-Drop-c3d6e14f4ddc4612b544bf6b380f88d6
Lime Juice,,https://www.notion.so/Gimlet-01e39d5402544abba3e8a5c487098717
Melon Liqueur,,
Midori,,"https://www.notion.so/Melon-Ball-Cocktail-e2a5442a83af48ec9f9483cdcc90eb61, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Orange Juice,,"https://www.notion.so/Fuzzy-Navel-c67d2552e98f4ab3b45f55c9271fb2c4, https://www.notion.so/Madras-3213dfb28a3f41c5b04d5fc4a8e5e6a8, https://www.notion.so/Melon-Ball-Cocktail-e2a5442a83af48ec9f9483cdcc90eb61, https://www.notion.so/Sea-Breeze-0404bae2e6db43109349ab54476270c5, https://www.notion.so/Slow-Comfortable-Screw-6ed4ae927d934dc192b2b28387d42d23, https://www.notion.so/Slow-Screw-5d110303eff246fd882c8d8bebf37c7e, https://www.notion.so/Tequila-Sunrise-f155da1ca5fc4387b3b36072e79c8939, https://www.notion.so/Screwdriver-caa6c96975a44511a02fc06a28142a5b, https://www.notion.so/Sex-on-the-Beach-5171836eafbf45118d3dc28c9437cd54, https://www.notion.so/Painkiller-8a07b6c3ca5c464ab64980e9f1c54d80"
Peach Schnapps,,"https://www.notion.so/Water-Mocasin-de65edae2f7240fdaff58f687ff7f678, https://www.notion.so/Woo-Woo-ecf2246019cb47a59eca2b32c3f6d3eb, https://www.notion.so/Fuzzy-Navel-c67d2552e98f4ab3b45f55c9271fb2c4, https://www.notion.so/Sex-on-the-Beach-5171836eafbf45118d3dc28c9437cd54"
Pineapple Juice,,"https://www.notion.so/Bay-Breeze-a852eeb1ac1945e9bfc4b20431ba2c54, https://www.notion.so/Painkiller-8a07b6c3ca5c464ab64980e9f1c54d80"
Rum,,"https://www.notion.so/Red-Rum-Sour-a52b0f97b42948478bf359f4283455cd, https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Salt,,https://www.notion.so/Bloody-Mary-16b22e75620b4aa0b5099d8cfdc1c454
Scotch,,"https://www.notion.so/Joe-Collins-8ecfc7caac4f4dacae56d9cfb943f769, https://www.notion.so/Rusty-Nail-1d00569e1f824daa97256d2e9c0d3e4d"
Scoth,,https://www.notion.so/Rob-Roy-9622c493d36b448bb472c570f1570466
Simple Syrup,,https://www.notion.so/Lemon-Drop-c3d6e14f4ddc4612b544bf6b380f88d6
Sloe Gin,,"https://www.notion.so/Slow-Comfortable-Screw-6ed4ae927d934dc192b2b28387d42d23, https://www.notion.so/Slow-Screw-5d110303eff246fd882c8d8bebf37c7e, https://www.notion.so/Sloe-Gin-Fizz-5eafa45ad7304f93a11d1a3639e7d812"
Soda,,"https://www.notion.so/Tom-Collins-b043170c47604f92adf1608daebcdd96, https://www.notion.so/John-Collins-d198e0532c46457fb5ff5978ee383270, https://www.notion.so/Sally-Collins-6cee3ea75582456bbf0967a338123cf5, https://www.notion.so/Joe-Collins-8ecfc7caac4f4dacae56d9cfb943f769, https://www.notion.so/Mind-Eraser-65668cae992642f980d5aab61728c301"
Southern Comfort,,https://www.notion.so/Slow-Comfortable-Screw-6ed4ae927d934dc192b2b28387d42d23
Sparkling Wine,,
Sprite,,"https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Lynchburg-Lemonade-2a0d92a70bbb4b038e0c7af254eaa065, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Sweet and Sour,,"https://www.notion.so/Water-Mocasin-de65edae2f7240fdaff58f687ff7f678, https://www.notion.so/Appletini-ad69f546eda04d4eb6379259e8d30aef, https://www.notion.so/Amaretto-Sour-b9f99a0dd2b6435d86bb010f69099770, https://www.notion.so/Margarita-621557b0b3744baa9e084a2d7711c6e9, https://www.notion.so/Red-Rum-Sour-a52b0f97b42948478bf359f4283455cd, https://www.notion.so/Tom-Collins-b043170c47604f92adf1608daebcdd96, https://www.notion.so/John-Collins-d198e0532c46457fb5ff5978ee383270, https://www.notion.so/Sally-Collins-6cee3ea75582456bbf0967a338123cf5, https://www.notion.so/Joe-Collins-8ecfc7caac4f4dacae56d9cfb943f769, https://www.notion.so/Stone-Sour-60cf6df456264c7cbf7e6b2235bd1f9d, https://www.notion.so/Singapore-Sling-0ee2fe3d832446deb1f30bea5ceecb4d, https://www.notion.so/Sloe-Gin-Fizz-5eafa45ad7304f93a11d1a3639e7d812, https://www.notion.so/Vodka-Cherry-Sour-1dc4c3baa43e414086f11ba7f49efa7e, https://www.notion.so/Whisky-Sour-dea88e620c8248b1870538ab156f1b63, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Lynchburg-Lemonade-2a0d92a70bbb4b038e0c7af254eaa065, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Sweet Vermouth,,"https://www.notion.so/Manhattan-ac4a9f00ca714002bf7196ce837e6bfe, https://www.notion.so/Rob-Roy-9622c493d36b448bb472c570f1570466"
Tequila,,"https://www.notion.so/Tequila-Sunrise-f155da1ca5fc4387b3b36072e79c8939, https://www.notion.so/Margarita-621557b0b3744baa9e084a2d7711c6e9, https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359"
Tomato Juice,,https://www.notion.so/Bloody-Mary-16b22e75620b4aa0b5099d8cfdc1c454
Triple Sec,,"https://www.notion.so/Cosmopolitan-8dcad17a209b497dbe7728df7bd05183, https://www.notion.so/Orange-Crush-63a280bf19344d3f9d03e26c50e944b8, https://www.notion.so/Margarita-621557b0b3744baa9e084a2d7711c6e9, https://www.notion.so/Red-Rum-Sour-a52b0f97b42948478bf359f4283455cd, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Lynchburg-Lemonade-2a0d92a70bbb4b038e0c7af254eaa065"
Vanilla Vodka,,https://www.notion.so/Tiramisu-Martini-38ef7c5a20bb40e181169a28a903f8f2
Vodka,,"https://www.notion.so/Woo-Woo-ecf2246019cb47a59eca2b32c3f6d3eb, https://www.notion.so/Gimlet-01e39d5402544abba3e8a5c487098717, https://www.notion.so/Appletini-ad69f546eda04d4eb6379259e8d30aef, https://www.notion.so/Cosmopolitan-8dcad17a209b497dbe7728df7bd05183, https://www.notion.so/Martini-d44c52d8fbf74c289280b71e42e1c872, https://www.notion.so/Bay-Breeze-a852eeb1ac1945e9bfc4b20431ba2c54, https://www.notion.so/Bloody-Mary-16b22e75620b4aa0b5099d8cfdc1c454, https://www.notion.so/Cape-Cod-cc0dbe10d2b44cb7ac922ba5fe21a271, https://www.notion.so/Greyhound-1da0829497fe48cfae1b97a1ab82d8ca, https://www.notion.so/Madras-3213dfb28a3f41c5b04d5fc4a8e5e6a8, https://www.notion.so/Melon-Ball-Cocktail-e2a5442a83af48ec9f9483cdcc90eb61, https://www.notion.so/Orange-Crush-63a280bf19344d3f9d03e26c50e944b8, https://www.notion.so/Salty-Dog-ae6732c5a4e14810a5cf9dcbddc25f2f, https://www.notion.so/Sea-Breeze-0404bae2e6db43109349ab54476270c5, https://www.notion.so/Sally-Collins-6cee3ea75582456bbf0967a338123cf5, https://www.notion.so/Stone-Sour-60cf6df456264c7cbf7e6b2235bd1f9d, https://www.notion.so/Vodka-Cherry-Sour-1dc4c3baa43e414086f11ba7f49efa7e, https://www.notion.so/Black-Russian-f4dfb696a92445ad893762f2a9eaf5f9, https://www.notion.so/Colorado-Bulldog-b8101d4e91a14e9eaa4d14e18d524185, https://www.notion.so/Godmother-9d3338b0213146718dc97326c79e30eb, https://www.notion.so/White-Russian-7e5ac5386d174af29d21ef5f7d64ccfd, https://www.notion.so/Face-Eraser-fe1b1683fbfc4c4185f4e7fbb126f880, https://www.notion.so/Mind-Eraser-65668cae992642f980d5aab61728c301, https://www.notion.so/Long-Beach-Tea-07a11f048fb14347b0cdfce2569f1fff, https://www.notion.so/Long-Island-Ice-Tea-549b2d4f82024c299045a42a6ec02ef4, https://www.notion.so/Raspberry-Tea-bce3602350f74b99a68413d26856a4ac, https://www.notion.so/South-Padre-Tea-d3acc3d08a2f43c683e711d860713359, https://www.notion.so/Sex-on-the-Beach-5171836eafbf45118d3dc28c9437cd54, https://www.notion.so/Screwdriver-caa6c96975a44511a02fc06a28142a5b, https://www.notion.so/Lemon-Drop-c3d6e14f4ddc4612b544bf6b380f88d6"
Water,,
Whisky,,"https://www.notion.so/Whisky-Sour-dea88e620c8248b1870538ab156f1b63, https://www.notion.so/Godfather-e813a029ec004f8b96a5bde6d420f163"
White,,
White Creme de Menthe,,https://www.notion.so/Stinger-767f306b81b040cf8454fb216172d848
Wine,,
Worcestershire Sauce,,https://www.notion.so/Bloody-Mary-16b22e75620b4aa0b5099d8cfdc1c454
,,